smart-TV,#genre#
大愛電視,https://smart.dxjc.pp.ua/smart.php?id=daai_twn&token=tmxk
大愛二台,https://smart.dxjc.pp.ua/smart.php?id=daai2_twn&token=tmxk
EYE 旅游台,https://smart.dxjc.pp.ua/smart.php?id=eyetvtravel_twn&token=tmxk
EYE 戏剧台,https://smart.dxjc.pp.ua/smart.php?id=eyetvxiju_twn&token=tmxk
亚洲美食,https://smart.dxjc.pp.ua/smart.php?id=afc_twn&token=tmxk
美食星球,https://smart.dxjc.pp.ua/smart.php?id=foodplanet_twn&token=tmxk
TLC旅遊生活,https://smart.dxjc.pp.ua/smart.php?id=tlc_twn&token=tmxk
亚洲旅游台,https://smart.dxjc.pp.ua/smart.php?id=asiatravel_twn&token=tmxk
Arirang,https://smart.dxjc.pp.ua/smart.php?id=arirang_twn&token=tmxk
AXN Taiwan,https://smart.dxjc.pp.ua/smart.php?id=axn_twn&token=tmxk
MTV Live,https://smart.dxjc.pp.ua/smart.php?id=mtvhd_twn&token=tmxk
HBO_HD,https://smart.dxjc.pp.ua/smart.php?id=hbohd_twn&token=tmxk
HBO_HITS,https://smart.dxjc.pp.ua/smart.php?id=hbohit_twn&token=tmxk
CINEMAX,https://smart.dxjc.pp.ua/smart.php?id=cinemax_twn&token=tmxk
好萊塢電影台,https://smart.dxjc.pp.ua/smart.php?id=hollywoodmovies_twn&token=tmxk
卫视电影台,https://smart.dxjc.pp.ua/smart.php?id=weishimovie_twn&token=tmxk
龙祥时代,https://smart.dxjc.pp.ua/smart.php?id=lungxiangtime_twn&token=tmxk
美亚电影,https://smart.dxjc.pp.ua/smart.php?id=meiyamovie_twn&token=tmxk
華藝綜合,https://smart.dxjc.pp.ua/smart.php?id=weishichinese_twn&token=tmxk
博斯运动一台,https://smart.dxjc.pp.ua/smart.php?id=bosisport1_twn&token=tmxk
博斯运动二台,https://smart.dxjc.pp.ua/smart.php?id=bosisport2_twn&token=tmxk
博斯高球一台,https://smart.dxjc.pp.ua/smart.php?id=bosigolf1_twn&token=tmxk
博斯高球二台,https://smart.dxjc.pp.ua/smart.php?id=bosigolf2_twn&token=tmxk
博斯网球台,https://smart.dxjc.pp.ua/smart.php?id=bositennis_twn&token=tmxk
博斯无限台,https://smart.dxjc.pp.ua/smart.php?id=bosiunlimited_twn&token=tmxk
好消息 2,https://smart.dxjc.pp.ua/smart.php?id=good2_twn&token=tmxk
CCTV-1 综合,https://smart.dxjc.pp.ua/smart.php?id=cctv1&token=tmxk
CCTV-2 财经,https://smart.dxjc.pp.ua/smart.php?id=cctv2&token=tmxk
CCTV-3 综艺,https://smart.dxjc.pp.ua/smart.php?id=cctv3&token=tmxk
CCTV-4 中文国际,https://smart.dxjc.pp.ua/smart.php?id=Cctv4&token=tmxk
CCTV-4 中文国际,https://smart.dxjc.pp.ua/smart.php?id=cctv4&token=tmxk
CCTV-5 体育,https://smart.dxjc.pp.ua/smart.php?id=cctv5&token=tmxk
CCTV-6 电影,https://smart.dxjc.pp.ua/smart.php?id=cctv6&token=tmxk
CCTV-7 国防军事,https://smart.dxjc.pp.ua/smart.php?id=cctv7&token=tmxk
CCTV-8 电视剧,https://smart.dxjc.pp.ua/smart.php?id=cctv8hd&token=tmxk
CCTV-9 记录,https://smart.dxjc.pp.ua/smart.php?id=cctv9hd&token=tmxk
CCTV-10 科教,https://smart.dxjc.pp.ua/smart.php?id=cctv10hd&token=tmxk
CCTV-11 戏曲,https://smart.dxjc.pp.ua/smart.php?id=cctv11&token=tmxk
CCTV-12 社会与法,https://smart.dxjc.pp.ua/smart.php?id=cctv12&token=tmxk
CCTV-13 新闻,https://smart.dxjc.pp.ua/smart.php?id=cctv13&token=tmxk
CCTV-14 少儿,https://smart.dxjc.pp.ua/smart.php?id=cctv14&token=tmxk
CCTV-15 音乐,https://smart.dxjc.pp.ua/smart.php?id=cctv15&token=tmxk
CCTV-16 奥林匹克,https://smart.dxjc.pp.ua/smart.php?id=cctv16&token=tmxk
CCTV-17 农业农村,https://smart.dxjc.pp.ua/smart.php?id=cctv17&token=tmxk
CCTV-5+ 体育赛事,https://smart.dxjc.pp.ua/smart.php?id=cctv5plus&token=tmxk
湖南卫视,https://smart.dxjc.pp.ua/smart.php?id=hunan_twn&token=tmxk
浙江卫视,https://smart.dxjc.pp.ua/smart.php?id=zhejiang_twn&token=tmxk
江苏卫视,https://smart.dxjc.pp.ua/smart.php?id=jiangsu_twn&token=tmxk
东方卫视,https://smart.dxjc.pp.ua/smart.php?id=dongfangweishi_twn&token=tmxk
北京卫视,https://smart.dxjc.pp.ua/smart.php?id=beijing&token=tmxk
深圳卫视,https://smart.dxjc.pp.ua/smart.php?id=shenzhen&token=tmxk
广东卫视,https://smart.dxjc.pp.ua/smart.php?id=guangdongweishi_twn&token=tmxk
大湾区卫视,https://smart.dxjc.pp.ua/smart.php?id=nanfang_twn&token=tmxk
珠江台,https://smart.dxjc.pp.ua/smart.php?id=zhujiang&token=tmxk
东南卫视,https://smart.dxjc.pp.ua/smart.php?id=fujian&token=tmxk
